epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.236,2.78955,2.9486,1.61759,0.58523,0.1689,0.15735,0.06714,1.92318,1.4868,1.07086,0.000235264,0.000235264,0.000235264
2,219.158,1.89535,1.35239,1.06568,0.41143,0.20084,0.17037,0.0787,1.77303,1.21438,1.01283,0.000426411,0.000426411,0.000426411
3,328.45,1.8281,1.2613,1.04475,0.4332,0.18352,0.17653,0.07733,1.76118,1.27055,1.02347,0.000570434,0.000570434,0.000570434
4,433.804,1.77915,1.22307,1.02607,0.27407,0.18827,0.16568,0.07404,1.70664,1.16093,1.00236,0.000501942,0.000501942,0.000501942
5,537.876,1.72053,1.14403,1.0128,0.29941,0.24349,0.19559,0.09037,1.65975,1.09968,0.98525,0.000431256,0.000431256,0.000431256
6,641.866,1.6665,1.08493,0.98886,0.39728,0.25977,0.2388,0.11355,1.58142,0.99306,0.95992,0.00036057,0.00036057,0.00036057
7,749.072,1.60692,1.02379,0.97903,0.4762,0.25292,0.24217,0.1185,1.54227,0.97094,0.95468,0.000289884,0.000289884,0.000289884
8,858.822,1.56689,0.97033,0.96556,0.53489,0.26374,0.26585,0.1332,1.49728,0.91648,0.94509,0.000219198,0.000219198,0.000219198
9,963.386,1.51162,0.92894,0.95139,0.55176,0.27808,0.28597,0.14057,1.46545,0.88763,0.93419,0.000148512,0.000148512,0.000148512
10,1066.82,1.47638,0.87708,0.9421,0.5539,0.29778,0.30223,0.15317,1.43244,0.84418,0.92818,7.7826e-05,7.7826e-05,7.7826e-05
