epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6057,3.18258,3.64949,1.63856,0.01526,0.2355,0.07957,0.03331,2.17857,2.63648,1.0709,0.000235133,0.000235133,0.000235133
2,128.387,2.10468,1.9531,1.06739,0.56844,0.14043,0.11975,0.05185,2.0245,1.52529,1.05008,0.000426292,0.000426292,0.000426292
3,187.733,1.98743,1.73871,1.0377,0.56053,0.14588,0.11878,0.05484,1.9139,1.40624,1.04071,0.000570328,0.000570328,0.000570328
4,246.129,1.94056,1.62372,1.02834,0.58902,0.154,0.14259,0.07034,1.85382,1.30433,1.00881,0.000501942,0.000501942,0.000501942
5,305.029,1.86126,1.46843,1.00863,0.59866,0.15989,0.15867,0.07907,1.77388,1.27556,0.99104,0.000431256,0.000431256,0.000431256
6,361.72,1.82175,1.39648,0.99728,0.51515,0.18071,0.16995,0.08619,1.73755,1.20116,0.98388,0.00036057,0.00036057,0.00036057
7,416.928,1.78042,1.33423,0.98602,0.41095,0.17082,0.17506,0.08762,1.71392,1.1753,0.97737,0.000289884,0.000289884,0.000289884
8,470.457,1.74489,1.27501,0.97129,0.55812,0.17482,0.18525,0.09425,1.66849,1.13398,0.96563,0.000219198,0.000219198,0.000219198
9,525.391,1.71506,1.24229,0.96666,0.4124,0.20824,0.19015,0.0999,1.65762,1.11568,0.96747,0.000148512,0.000148512,0.000148512
10,583.912,1.66263,1.1932,0.9581,0.44831,0.1965,0.19819,0.10497,1.63639,1.09628,0.9574,7.7826e-05,7.7826e-05,7.7826e-05
