epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0878,3.14732,5.45676,1.79904,0.5952,0.13665,0.11862,0.04886,2.07303,1.52021,1.09838,0.000235264,0.000235264,0.000235264
2,144.187,1.97041,1.46345,1.06801,0.45543,0.17819,0.14749,0.06609,1.82194,1.2906,1.01972,0.000426411,0.000426411,0.000426411
3,212.001,1.86392,1.31319,1.04022,0.44812,0.15541,0.14197,0.06173,1.83423,1.35229,1.04051,0.000570434,0.000570434,0.000570434
4,278.76,1.82344,1.26278,1.02439,0.25541,0.18593,0.16492,0.07478,1.72467,1.15847,0.99156,0.000501942,0.000501942,0.000501942
5,345.157,1.74327,1.17767,1.00599,0.3872,0.20215,0.18573,0.08919,1.68902,1.10468,0.98199,0.000431256,0.000431256,0.000431256
6,412.245,1.701,1.12685,0.99101,0.44402,0.21298,0.20117,0.09799,1.62671,1.05996,0.96755,0.00036057,0.00036057,0.00036057
7,479.862,1.66211,1.07377,0.9834,0.36469,0.23495,0.22457,0.10832,1.57021,1.00677,0.95528,0.000289884,0.000289884,0.000289884
8,547.129,1.6196,1.02552,0.97111,0.55036,0.25427,0.25056,0.12468,1.57504,0.972,0.95448,0.000219198,0.000219198,0.000219198
9,614.447,1.57282,0.9835,0.95993,0.39983,0.27545,0.25751,0.12854,1.52977,0.9406,0.94424,0.000148512,0.000148512,0.000148512
10,681.754,1.54169,0.93979,0.95116,0.45619,0.2627,0.27311,0.13693,1.51029,0.9108,0.9379,7.7826e-05,7.7826e-05,7.7826e-05
